順位,言語,月,火,水,木,金,土,日
1,中国語,一,二,三,四,五,六,日
2,スペイン語,Lun,Mar,Mié,Jue,Vie,Sáb,Dom
3,英語,Mon,Tue,Wed,Thu,Fri,Sat,Sun
4,ヒンディー語,सोम,मंगल,बुध,गुरु,शुक्र,शनि,रवि
5,ベンガル語,সোম,मंगल,বুধ,বৃহ,শুক্র,শনি,রবি
6,ポルトガル語,2ª,3ª,4ª,5ª,6ª,Sáb,Dom
7,アラビア語,اث,ث,أر,خ,ج,س,ح
8,ロシア語,Пн,Вт,Ср,Чт,Пт,Сб,Вс
9,日本語,月,火,水,木,金,土,日
10,パンジャーブ語,ਸੋਮ,ਮੰਗਲ,ਬੁੱਧ,ਵੀਰ,ਸ਼ੁੱਕਰ,ਸ਼ਨੀ,ਐਤ
11,マラーティー語,सोम,मंग,बुध,गुरू,शुक्र,शनि,रवि
12,テルグ語,సోమ,మంగళ,బుధ,గురు,శుక్ర,శని,ఆది
13,ジャワ語,Sen,Sel,Reb,Kem,Jum,Set,Ngah
14,ベトナム語,T2,T3,T4,T5,T6,T7,CN
15,ドイツ語,Mo,Di,Mi,Do,Fr,Sa,So
16,韓国語,월,화,수,목,금,토,일
17,フランス語,Lun,Mar,Mer,Jeu,Ven,Sam,Dim
18,イタリア語,Lun,Mar,Mer,Gio,Ven,Sab,Dom
19,タイ語,จ.,อ.,พ.,พฤ.,ศ.,ส.,อา.
20,スワヒリ語,Jtt,Jnn,Jta,Alham,Jma,Jmos,Jpili
21,インドネシア語,Sen,Sel,Rab,Kam,Jum,Sab,Min
22,ポーランド語,pn,wt,śr,cz,pt,sb,nd
23,ウクライナ語,Пн,Вт,Ср,Чт,Пт,Сб,Нд
24,スウェーデン語,mån,tis,ons,tors,fre,lör,sön
25,フィンランド語,ma,ti,ke,to,pe,la,su
